epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,36.918,0.62279,2.02335,1.24819,0.98856,1,0.995,0.89021,0.5252,1.13243,1.17717,0.000409022,0.000409022,0.000409022
44,37.417,0.74589,1.55828,1.58039,0.98964,1,0.995,0.85461,0.53365,1.05455,1.17597,0.000411664,0.000411664,0.000411664
45,37.915,0.64731,1.42382,1.2965,0.99066,1,0.995,0.87787,0.53066,0.99809,1.14433,0.000413976,0.000413976,0.000413976
46,38.4043,0.54095,1.69307,1.25215,0.9918,1,0.995,0.86299,0.55422,0.93093,1.15671,0.000415958,0.000415958,0.000415958
47,39.0164,0.73958,1.35112,1.26071,0.99539,1,0.995,0.87154,0.56963,0.88732,1.19587,0.00041761,0.00041761,0.00041761
48,39.5197,0.66663,1.37653,1.11835,0.99271,1,0.995,0.87268,0.60172,0.85893,1.26135,0.000418932,0.000418932,0.000418932
49,40.0003,0.69325,1.20464,1.48723,0.99267,1,0.995,0.86098,0.65998,0.85142,1.39064,0.000419924,0.000419924,0.000419924
50,40.469,0.70465,1.14826,1.72666,0.99191,1,0.995,0.84707,0.67275,0.88387,1.39618,0.000420586,0.000420586,0.000420586
51,40.907,0.67024,1.3643,1.4575,0.99191,1,0.995,0.84707,0.67275,0.88387,1.39618,0.000420918,0.000420918,0.000420918
52,41.3557,0.8214,1.27374,1.47042,0.99189,1,0.995,0.86098,0.61655,0.85906,1.30539,0.000420919,0.000420919,0.000420919
53,41.7791,0.57312,1.3733,1.22393,0.99189,1,0.995,0.86098,0.61655,0.85906,1.30539,0.000420591,0.000420591,0.000420591
54,42.2444,0.76474,1.72553,1.77549,0.99208,1,0.995,0.9002,0.55772,0.81882,1.21667,0.000419932,0.000419932,0.000419932
55,42.6715,0.7437,1.28221,1.4939,0.99208,1,0.995,0.9002,0.55772,0.81882,1.21667,0.000418944,0.000418944,0.000418944
56,43.2487,0.67013,1.2369,1.57203,0.99211,1,0.995,0.91007,0.52663,0.76494,1.17324,0.000417625,0.000417625,0.000417625
57,43.6719,0.6182,0.90376,1.46653,0.99211,1,0.995,0.91007,0.52663,0.76494,1.17324,0.000415977,0.000415977,0.000415977
58,44.1149,0.5717,1.02011,1.56955,0.99261,1,0.995,0.90414,0.52699,0.69911,1.1751,0.000413998,0.000413998,0.000413998
