epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.533,1.03055,3.48118,1.1435,0.67198,0.33593,0.39449,0.29139,0.98128,1.73975,1.0996,0.000164875,0.000164875,0.000164875
2,755.375,0.94203,1.02368,1.1198,0.82448,0.52244,0.59508,0.45325,0.88476,0.8124,1.11065,0.000249485,0.000249485,0.000249485
3,1758.85,0.89998,0.76112,1.12916,0.82285,0.56493,0.62211,0.48277,0.86379,0.71217,1.10394,0.000251595,0.000251595,0.000251595
4,2134.44,0.84321,0.66449,1.11782,0.85401,0.63265,0.69193,0.54677,0.83177,0.66697,1.09975,0.00012875,0.00012875,0.00012875
