epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,52.6225,0.85384,5.17813,1.22338,0.29698,0.57143,0.5115,0.46047,0.64001,3.19747,1.16648,4.7044e-05,4.7044e-05,4.7044e-05
40,53.6486,0.7797,5.45171,1.19198,0.29698,0.57143,0.5115,0.46047,0.64001,3.19747,1.16648,4.4421e-05,4.4421e-05,4.4421e-05
41,55.1217,0.70102,5.88011,1.26735,0.5,0.43358,0.51162,0.45579,0.63495,3.1167,1.16618,4.16e-05,4.16e-05,4.16e-05
42,56.3123,0.80904,6.34172,1.24251,0.5,0.43358,0.51162,0.45579,0.63495,3.1167,1.16618,3.8581e-05,3.8581e-05,3.8581e-05
43,57.3744,0.75283,6.1529,1.19649,0.5,0.34194,0.5128,0.46186,0.63004,3.05377,1.16551,3.5364e-05,3.5364e-05,3.5364e-05
44,58.3841,0.69738,5.46025,1.1266,0.5,0.34194,0.5128,0.46186,0.63004,3.05377,1.16551,3.1949e-05,3.1949e-05,3.1949e-05
45,59.3876,0.64716,5.2561,1.15322,0.5,0.32918,0.51282,0.46215,0.63359,3.03641,1.16606,2.8336e-05,2.8336e-05,2.8336e-05
46,60.3789,0.6848,5.7635,1.3057,0.5,0.32918,0.51282,0.46215,0.63359,3.03641,1.16606,2.4525e-05,2.4525e-05,2.4525e-05
47,61.3715,0.6472,5.37603,1.13169,0.5,0.30767,0.51415,0.45697,0.63167,2.99292,1.16539,2.0516e-05,2.0516e-05,2.0516e-05
48,62.3569,0.75237,6.18055,1.20804,0.5,0.30767,0.51415,0.45697,0.63167,2.99292,1.16539,1.6309e-05,1.6309e-05,1.6309e-05
49,63.3385,0.71702,5.48477,1.20584,0.5,0.31731,0.51168,0.45014,0.6331,2.98031,1.16466,1.1904e-05,1.1904e-05,1.1904e-05
50,64.2947,0.6746,5.90826,1.05278,0.5,0.31731,0.51168,0.45014,0.6331,2.98031,1.16466,7.301e-06,7.301e-06,7.301e-06
